Occupation,Total_employed_2024,Women_2024,White_2024,Black_or_African_American_2024,Asian_2024,Hispanic_or_Latino_2024,Total_employed_2023,Women_2023,White_2023,Black_or_African_American_2023,Asian_2023,Hispanic_or_Latino_2023,Total_employed_2022,Women_2022,White_2022,Black_or_African_American_2022,Asian_2022,Hispanic_or_Latino_2022,Total_employed_2021,Women_2021,White_2021,Black_or_African_American_2021,Asian_2021,Hispanic_or_Latino_2021,Total_employed_2020,Women_2020,White_2020,Black_or_African_American_2020,Asian_2020,Hispanic_or_Latino_2020
Nuclear technicians,6,–,–,–,–,–,6,–,–,–,–,–,7,–,–,–,–,–,15,–,–,–,–,–,21,–,–,–,–,–
Social science research assistants,6,–,–,–,–,–,4,–,–,–,–,–,5,–,–,–,–,–,2,–,–,–,–,–,7,–,–,–,–,–
"Other life, physical, and social science technicians",340,53.3,68.7,11.8,14.3,11.9,304,58.6,70.8,12.3,13.0,8.0,320,51.9,75.1,7.8,11.4,9.8,6,–,–,–,–,–,4,–,–,–,–,–
Occupational health and safety specialists and technicians,67,35.1,74.2,17.3,5.5,22.0,71,17.9,78.8,12.6,1.8,16.0,79,29.2,78.2,7.6,9.4,18.2,269,47.3,78.9,8.7,10.6,10.9,258,54.1,78.0,4.9,10.9,10.7
Community and social service occupations,"2,950",69.6,71.8,19.1,4.2,13.8,"2,879",69.6,72.9,19.6,3.9,14.5,"2,945",67.2,73.6,19.3,3.6,14.1,72,30.9,75.3,13.0,2.5,10.4,85,35.8,90.3,1.6,2.9,11.7
Substance abuse and behavioral disorder counselors,130,72.5,76.5,19.0,2.6,14.9,133,78.1,72.6,15.6,6.2,13.8,137,70.4,74.6,16.3,3.4,15.9,"2,777",67.5,72.9,19.7,3.8,12.5,"2,717",68.8,72.7,19.9,3.4,13.5
"Educational, guidance, and career counselors and advisors",388,76.9,77.5,13.6,3.0,16.4,384,79.2,76.0,17.2,2.5,14.1,408,75.3,75.4,17.6,3.0,11.4,121,69.1,70.4,25.9,1.3,11.6,130,81.3,70.2,25.4,1.7,16.8
Marriage and family therapists,31,–,–,–,–,–,34,–,–,–,–,–,38,–,–,–,–,–,362,76.5,74.3,18.9,2.7,15.8,343,77.8,73.0,19.0,4.0,14.8
Mental health counselors,199,73.5,71.5,21.7,2.0,5.2,219,74.6,75.9,18.4,2.8,16.8,195,74.9,82.4,14.9,1.1,10.6,44,–,–,–,–,–,40,–,–,–,–,–
Rehabilitation counselors,13,–,–,–,–,–,17,–,–,–,–,–,21,–,–,–,–,–,212,75.6,76.3,17.6,2.0,10.0,138,72.9,87.5,9.4,2.0,14.0
"Counselors, all other",285,72.9,69.7,24.1,1.9,10.2,255,72.3,71.0,23.1,3.5,11.3,248,69.9,76.1,19.1,1.6,13.3,11,–,–,–,–,–,28,–,–,–,–,–
"Child, family, and school social workers",68,79.8,76.9,15.0,3.5,15.6,60,88.1,65.8,26.3,3.9,14.2,72,86.0,61.3,30.5,6.2,11.1,250,67.1,65.0,27.6,4.4,11.8,225,68.2,75.0,18.3,3.7,15.2
Healthcare social workers,75,85.3,70.5,12.0,13.2,19.5,79,77.9,65.1,28.9,2.6,19.3,89,73.6,69.3,23.5,5.8,13.9,54,86.8,63.4,30.7,0.9,18.7,62,89.8,65.3,26.8,0.6,21.3
Mental health and substance abuse social workers,22,–,–,–,–,–,20,–,–,–,–,–,24,–,–,–,–,–,77,73.4,67.4,27.5,1.2,10.8,78,87.0,69.0,20.3,8.2,9.2
"Social workers, all other",732,83.4,65.6,24.7,4.7,17.0,704,84.2,70.7,23.2,3.2,17.1,731,81.5,65.4,27.3,4.2,17.3,15,–,–,–,–,–,24,–,–,–,–,–
Probation officers and correctional treatment specialists,72,62.5,62.0,26.5,2.6,13.7,77,57.4,62.6,34.9,1.1,15.9,70,53.4,77.5,21.5,0.6,26.0,681,83.6,65.4,25.8,4.6,15.2,673,85.4,64.4,25.7,3.7,15.0
Social and human service assistants,265,75.1,66.9,23.6,4.6,21.4,245,75.3,64.9,24.4,5.0,19.8,228,79.2,67.8,25.0,1.8,16.9,88,50.5,76.6,17.4,1.3,12.2,105,50.7,66.6,26.9,0.7,12.8
Other community and social service specialists,109,65.9,64.9,24.1,3.4,12.6,99,74.4,65.6,26.9,1.2,25.5,112,69.2,70.9,20.4,2.7,21.7,194,81.2,75.2,15.1,5.5,13.2,230,79.6,72.6,18.9,3.2,14.9
Clergy,395,23.7,76.1,12.2,6.3,6.4,403,21.4,80.3,9.5,7.4,7.5,434,18.9,79.7,9.9,6.1,10.2,100,82.5,61.8,24.8,6.1,16.2,100,77.6,61.6,30.4,3.3,12.7
"Directors, religious activities and education",71,67.7,91.5,6.9,0.9,8.2,78,67.3,75.7,12.2,4.1,9.9,68,62.8,91.0,7.8,1.1,9.5,404,16.2,84.4,8.7,4.7,8.0,420,18.5,82.3,11.7,3.8,7.8
"Religious workers, all other",94,71.2,83.5,6.6,9.1,7.3,74,67.6,91.1,3.7,4.5,6.7,68,67.8,90.4,1.8,4.5,11.8,67,53.7,94.2,2.7,1.8,10.0,57,64.9,94.4,2.4,2.1,8.9
