Occupation,Number_of_workers_2024,Median_weekly_earnings_2024,Number_of_workers_2023,Median_weekly_earnings_2023,Number_of_workers_2022,Median_weekly_earnings_2022,Number_of_workers_2021,Median_weekly_earnings_2021,Number_of_workers_2020,Median_weekly_earnings_2020
Surgical technologists,91,"1,224",95,"1,244",85,"1,197",109,"1,036",74,875
Veterinary technologists and technicians,110,824,99,829,120,800,106,779,73,655
Dietetic technicians and ophthalmic medical technicians,58,806,46,–,55,711,37,–,44,–
Licensed practical and licensed vocational nurses,424,"1,021",479,988,494,897,444,921,500,875
Medical records specialists,203,"1,053",184,918,161,988,181,894,166,888
"Opticians, dispensing",36,–,37,–,29,–,42,–,32,–
Miscellaneous health technologists and technicians,124,"1,162",119,"1,035",124,972,150,891,143,888
Other healthcare practitioners and technical occupations,118,"1,346",80,"1,372",77,"1,359",91,"1,362",73,"1,254"
,,,,,,,,,,
Service occupations,"15,707",758,"15,818",721,"15,468",697,"14,630",644,"13,771",621
Healthcare support occupations,"3,622",753,"3,467",713,"3,348",685,"3,269",637,"3,210",606
Home health aides,396,709,330,644,357,618,314,587,310,549
Personal care aides,"1,004",713,903,679,855,638,848,611,788,543
Nursing assistants,971,755,899,700,911,678,916,626,966,595
Orderlies and psychiatric aides,41,–,48,–,40,–,43,–,57,663
Occupational therapy assistants and aides,16,–,22,–,19,–,29,–,26,–
Physical therapist assistants and aides,64,951,75,909,50,847,37,–,58,964
Massage therapists,47,–,34,–,45,–,42,–,38,–
Dental assistants,206,819,235,754,250,724,219,665,204,661
Medical assistants,539,792,490,752,438,713,482,676,450,675
Medical transcriptionists,23,–,25,–,19,–,26,–,29,–
Pharmacy aides,31,–,20,–,29,–,28,–,32,–
Veterinary assistants and laboratory animal caretakers,35,–,67,720,52,696,47,–,42,–
Phlebotomists,81,738,133,730,93,751,109,681,86,614
Other healthcare support workers,169,893,187,833,190,829,128,768,124,682
Protective service occupations,"2,621","1,109","2,706","1,113","2,749","1,024","2,608",998,"2,690",982
First-line supervisors of correctional officers,40,–,59,"1,432",47,–,36,–,51,976
First-line supervisors of police and detectives,102,"1,859",93,"1,800",96,"1,476",89,"1,360",92,"1,551"
First-line supervisors of firefighting and prevention workers,46,–,47,–,62,"1,769",46,–,34,–
