Occupation,Total_employed_2023,Women_2023,White_2023,Black_or_African_American_2023,Asian_2023,Hispanic_or_Latino_2023,Total_employed_2022,Women_2022,White_2022,Black_or_African_American_2022,Asian_2022,Hispanic_or_Latino_2022
Occupational therapists,155,88.6,82.5,8.0,4.8,4.8,149,85.9,86.2,5.4,8.3,6.1
Physical therapists,312,67.5,86.5,5.0,5.2,6.0,274,70.2,82.6,5.9,7.2,4.3
Radiation therapists,16,–,–,–,–,–,16,–,–,–,–,–
Recreational therapists,17,–,–,–,–,–,14,–,–,–,–,–
Respiratory therapists,92,62.4,80.2,5.6,10.4,11.3,104,60.6,79.4,12.8,6.6,12.7
Speech-language pathologists,185,94.3,90.0,6.4,2.6,6.9,171,97.6,93.9,4.0,0.5,2.7
Exercise physiologists,6,–,–,–,–,–,5,–,–,–,–,–
"Therapists, all other",303,83.9,77.4,16.2,3.7,14.1,254,79.4,80.7,14.6,2.4,14.0
Veterinarians,87,69.1,90.0,1.3,5.9,7.9,83,69.8,91.4,2.2,4.3,0.5
Registered nurses,"3,472",87.4,72.6,15.6,8.9,8.9,"3,363",87.9,73.6,14.5,8.9,8.1
Nurse anesthetists,22,–,–,–,–,–,37,–,–,–,–,–
Nurse midwives,6,–,–,–,–,–,6,–,–,–,–,–
Nurse practitioners,276,89.8,77.8,13.5,7.3,5.5,263,88.7,81.9,9.9,6.2,6.7
Acupuncturists,27,–,–,–,–,–,28,–,–,–,–,–
"Healthcare diagnosing or treating practitioners, all other",13,–,–,–,–,–,15,–,–,–,–,–
Clinical laboratory technologists and technicians,302,76.3,66.3,14.3,15.0,11.8,333,75.2,69.0,12.0,14.9,13.5
Dental hygienists,206,95.7,88.6,4.0,5.6,11.8,217,96.3,91.4,2.5,5.6,12.7
Cardiovascular technologists and technicians,48,–,–,–,–,–,46,–,–,–,–,–
Diagnostic medical sonographers,105,76.1,76.9,6.1,15.0,11.6,93,75.0,79.9,4.8,14.7,10.9
Radiologic technologists and technicians,259,70.3,82.5,8.0,6.8,12.6,223,71.4,80.0,11.2,5.9,10.5
