Occupation,Number_of_workers_2023,Median_weekly_earnings_2023,Number_of_workers_2022,Median_weekly_earnings_2022
Construction and building inspectors,85,"1,193",88,"1,316"
Elevator and escalator installers and repairers,39,–,49,–
Fence erectors,26,–,40,–
Hazardous materials removal workers,21,–,22,–
Highway maintenance workers,98,941,94,892
Rail-track laying and maintenance equipment operators,22,–,16,–
Septic tank servicers and sewer pipe cleaners,7,–,8,–
Miscellaneous construction and related workers,48,–,24,–
"Derrick, rotary drill, and service unit operators, oil and gas",21,–,32,–
"Excavating and loading machine and dragline operators, surface mining",9,–,3,–
"Earth drillers, except oil and gas",22,–,19,–
"Explosives workers, ordnance handling experts, and blasters",7,–,9,–
Underground mining machine operators,43,–,24,–
"Roustabouts, oil and gas",8,–,8,–
Other extraction workers,47,–,38,–
"Installation, maintenance, and repair occupations","4,120","1,092","4,218","1,043"
"First-line supervisors of mechanics, installers, and repairers",227,"1,246",234,"1,355"
"Computer, automated teller, and office machine repairers",109,"1,042",154,"1,139"
Radio and telecommunications equipment installers and repairers,92,"1,042",104,"1,184"
Avionics technicians,10,–,6,–
"Electric motor, power tool, and related repairers",18,–,22,–
"Electrical and electronics installers and repairers, transportation equipment",0,–,2,–
"Electrical and electronics repairers, industrial and utility",8,–,17,–
"Electronic equipment installers and repairers, motor vehicles",3,–,6,–
Audiovisual equipment installers and repairers,19,–,23,–
Security and fire alarm systems installers,37,–,57,968
Aircraft mechanics and service technicians,115,"1,355",163,"1,253"
Automotive body and related repairers,105,"1,025",121,999
Automotive glass installers and repairers,18,–,25,–
Automotive service technicians and mechanics,741,994,733,917
Bus and truck mechanics and diesel engine specialists,281,"1,093",312,"1,025"
Heavy vehicle and mobile equipment service technicians and mechanics,194,"1,206",205,"1,281"
Small engine mechanics,28,–,36,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",56,804,57,871
Control and valve installers and repairers,19,–,16,–
"Heating, air conditioning, and refrigeration mechanics and installers",464,"1,126",408,"1,029"
Home appliance repairers,28,–,29,–
Industrial and refractory machinery mechanics,397,"1,172",380,"1,105"
"Maintenance and repair workers, general",586,"1,007",556,991
"Maintenance workers, machinery",20,–,19,–
Millwrights,33,–,44,–
Electrical power-line installers and repairers,122,"1,373",111,"1,372"
Telecommunications line installers and repairers,141,"1,135",121,"1,257"
Precision instrument and equipment repairers,35,–,47,–
Wind turbine service technicians,9,–,9,–
"Coin, vending, and amusement machine servicers and repairers",26,–,29,–
Commercial divers,1,–,1,–
Locksmiths and safe repairers,23,–,8,–
Manufactured building and mobile home installers,3,–,3,–
Riggers,15,–,11,–
